id,Date,Open,High,Low,Close,Volume,Futureprice
8588,2021-11-23-00-52,56506.52,56580.42,56483.9,56580.42,0.03264724,56603.82
8589,2021-11-23-00-51,56491.98,56548.86,56491.98,56525.72,0.94368862,56580.42
8590,2021-11-23-00-50,56459.06,56483.9,56459.06,56483.9,0.05158,56525.72
8591,2021-11-23-00-49,56396.3,56429.59,56396.3,56429.59,0.63832332,56483.9
8592,2021-11-23-00-48,56462.73,56464.39,56462.73,56464.39,0.02429,56429.59
8593,2021-11-23-00-47,56387.43,56387.43,56382.28,56384.31,0.03142,56464.39
8594,2021-11-23-00-46,56340.78,56351.96,56292.25,56351.96,0.3159884,56384.31
8595,2021-11-23-00-45,56399.53,56399.53,56324.03,56341.05,1.49979705,56351.96
8596,2021-11-23-00-44,56385.3,56429.96,56385.3,56402.26,0.20778213,56341.05
8597,2021-11-23-00-43,56326.44,56357.66,56326.44,56357.24,1.7201765,56402.26
8598,2021-11-23-00-42,56442.79,56459.1,56330.0,56331.05,0.04424274,56357.24
8599,2021-11-23-00-41,56487.45,56496.46,56419.72,56442.8,0.0633853,56331.05
8600,2021-11-23-00-40,56632.88,56632.88,56514.57,56514.57,0.06848231,56442.8
8601,2021-11-23-00-39,56556.66,56616.08,56556.66,56616.08,0.10535,56514.57
8602,2021-11-23-00-38,56536.3,56598.21,56517.87,56517.87,0.16289378,56616.08
8603,2021-11-23-00-37,56488.79,56551.74,56488.79,56551.74,0.23117548,56517.87
8604,2021-11-23-00-36,56499.67,56530.05,56497.24,56519.28,0.27871658,56551.74
8605,2021-11-23-00-35,56603.64,56620.98,56514.0,56514.0,0.21464853,56519.28
8606,2021-11-23-00-34,56637.88,56637.88,56573.21,56604.75,0.02986214,56514.0
8607,2021-11-23-00-33,56694.74,56702.85,56635.73,56641.98,0.45191802,56604.75
8608,2021-11-23-00-32,56753.8,56775.54,56704.43,56752.65,0.24804669,56641.98
8609,2021-11-23-00-31,56787.64,56791.52,56773.53,56773.53,0.00445,56752.65
8610,2021-11-23-00-30,56753.5,56801.71,56747.82,56801.71,0.13134,56773.53
8611,2021-11-23-00-29,56683.56,56817.62,56680.49,56722.51,0.96525561,56801.71
8612,2021-11-23-00-28,56723.48,56748.53,56629.51,56686.55,0.42310902,56722.51
8613,2021-11-23-00-27,56786.52,56854.52,56737.91,56744.5,3.43266995,56686.55
8614,2021-11-23-00-26,56737.9,56797.16,56719.1,56797.16,2.78984277,56744.5
8615,2021-11-23-00-25,56616.83,56834.0,56616.83,56802.8,6.98712151,56797.16
8616,2021-11-23-00-24,56536.38,56633.78,56536.38,56593.84,0.0644093,56802.8
8617,2021-11-23-00-23,56517.85,56517.85,56494.02,56494.02,0.00487876,56593.84
8618,2021-11-23-00-22,56466.0,56517.57,56466.0,56517.57,1.28329705,56494.02
8619,2021-11-23-00-21,56369.0,56461.0,56369.0,56442.54,0.20897749,56517.57
8620,2021-11-23-00-20,56268.68,56363.06,56265.73,56363.06,0.25018014,56442.54
8621,2021-11-23-00-19,56214.19,56268.68,56212.44,56261.79,0.46096,56363.06
8622,2021-11-23-00-18,56197.49,56211.5,56197.49,56203.58,0.10947008,56261.79
8623,2021-11-23-00-17,56116.85,56185.83,56116.85,56185.83,0.24203,56203.58
8624,2021-11-23-00-16,56075.52,56131.32,56075.52,56104.68,0.42441,56185.83
8625,2021-11-23-00-15,56098.45,56139.75,56084.16,56084.16,0.37886116,56104.68
8626,2021-11-23-00-14,56114.15,56114.15,56070.38,56105.42,0.02176374,56084.16
8627,2021-11-23-00-13,56086.1,56087.13,56004.62,56076.76,4.42773061,56105.42
8628,2021-11-23-00-12,56139.39,56146.39,56063.38,56063.38,1.48733352,56076.76
8629,2021-11-23-00-11,56189.05,56203.75,56089.6,56128.79,2.64126382,56063.38
8630,2021-11-23-00-10,56202.42,56247.69,56192.0,56192.0,1.15097466,56128.79
8631,2021-11-23-00-09,56238.0,56238.0,56200.0,56201.77,0.49589922,56192.0
8632,2021-11-23-00-08,56289.38,56289.38,56243.7,56266.79,0.02381,56201.77
8633,2021-11-23-00-07,56406.54,56425.03,56297.34,56304.09,0.12955082,56266.79
8634,2021-11-23-00-06,56367.17,56392.5,56366.05,56392.5,0.0163543,56304.09
8635,2021-11-23-00-05,56336.4,56367.03,56336.4,56365.47,0.09397484,56392.5
8636,2021-11-23-00-04,56284.62,56344.63,56284.28,56344.63,0.04636,56365.47
8637,2021-11-23-00-03,56315.23,56315.23,56274.36,56287.41,0.88250031,56344.63
8638,2021-11-23-00-02,56297.4,56341.1,56266.13,56329.78,1.01514162,56287.41
8639,2021-11-23-00-01,56308.13,56308.13,56271.75,56271.75,0.01784,56329.78
8640,2021-11-23-00-00,56283.8,56307.52,56267.0,56267.0,0.01792,56271.75
